"votes_gop","votes_dem","total_votes","diff","per_gop","per_dem","per_point_diff","state_name"
332120,461060,793180,-128940,0.493355808313936,0.506644191686064,0.013288383372128,"Alabama"
278682,257248,535930,21434,0.466564708063379,0.533435291936621,0.0668705838732422,"Alaska"
303827,210355,514182,93472,0.49658047943376,0.50341952056624,0.00683904113247991,"Arizona"
522170,373663,895833,148507,0.521746996464208,0.478253003535792,0.0434939929284155,"Arkansas"
189011,251144,440155,-62133,0.587059960654005,0.412940039345995,0.174119921308011,"California"
138549,197618,336167,-59069,0.589545388007537,0.410454611992463,0.179090776015073,"Colorado"
314731,419835,734566,-105104,0.509856931213289,0.490143068786711,0.0197138624265789,"Connecticut"
494545,461842,956387,32703,0.480902056349441,0.519097943650559,0.0381958873011172,"Delaware"
308768,356731,665499,-47963,0.461544002173468,0.538455997826532,0.0769119956530631,"Florida"
122635,136144,258779,-13509,0.596843840694055,0.403156159305945,0.19368768138811,"Georgia"
82175,114317,196492,-32142,0.428381381556392,0.571618618443608,0.143237236887217,"Hawaii"
369581,335926,705507,33655,0.578278823429719,0.421721176570281,0.156557646859437,"Idaho"
377360,311989,689349,65371,0.504227145155892,0.495772854844108,0.00845429031178346,"Illinois"
381986,294861,676847,87125,0.557256310340017,0.442743689659983,0.114512620680034,"Indiana"
478534,502297,980831,-23763,0.462340440414846,0.537659559585154,0.0753191191703081,"Iowa"
176519,262482,439001,-85963,0.436769904801622,0.563230095198378,0.126460190396756,"Kansas"
379562,471031,850593,-91469,0.447819991130382,0.552180008869618,0.104360017739236,"Kentucky"
55181,67676,122857,-12495,0.546427041105926,0.453572958894074,0.092854082211852,"Louisiana"
427118,427963,855081,-845,0.477581805968657,0.522418194031343,0.0448363880626857,"Maine"
119964,164163,284127,-44199,0.477998887049034,0.522001112950966,0.0440022259019315,"Maryland"
263074,330265,593339,-67191,0.488953600404784,0.511046399595216,0.0220927991904318,"Massachusetts"
128664,128427,257091,237,0.470780914369971,0.529219085630029,0.0584381712600588,"Michigan"
317018,350468,667486,-33450,0.471089076157659,0.528910923842341,0.0578218476846815,"Minnesota"
305275,251729,557004,53546,0.444220587564632,0.555779412435368,0.111558824870735,"Mississippi"
200336,241773,442109,-41437,0.525994610693306,0.474005389306694,0.0519892213866116,"Missouri"
128656,95981,224637,32675,0.549313600827009,0.450686399172991,0.0986272016540171,"Montana"
358600,326270,684870,32330,0.474447612045333,0.525552387954667,0.0511047759093344,"Nebraska"
318138,235206,553344,82932,0.516350019956008,0.483649980043992,0.0327000399120152,"Nevada"
392089,455690,847779,-63601,0.541658064443618,0.458341935556382,0.0833161288872362,"New Hampshire"
156577,145190,301767,11387,0.496257960097864,0.503742039902136,0.00748407980427146,"New Jersey"
154789,146992,301781,7797,0.582637644605711,0.417362355394289,0.165275289211422,"New Mexico"
412434,494347,906781,-81913,0.464296551281586,0.535703448718414,0.0714068974368274,"New York"
516851,469508,986359,47343,0.587462817830965,0.412537182169035,0.17492563566193,"North Carolina"
237413,255793,493206,-18380,0.531846064841375,0.468153935158625,0.0636921296827495,"North Dakota"
100202,94527,194729,5675,0.447745205368847,0.552254794631153,0.104509589262307,"Ohio"
501669,462572,964241,39097,0.503005945449695,0.496994054550305,0.00601189089939003,"Oklahoma"
249110,183335,432445,65775,0.472818372957408,0.527181627042592,0.0543632540851831,"Oregon"
140583,183244,323827,-42661,0.434434349276125,0.565565650723875,0.131131301447749,"Pennsylvania"
228874,279066,507940,-50192,0.44325095792301,0.55674904207699,0.11349808415398,"Rhode Island"
282847,407811,690658,-124964,0.540170617494732,0.459829382505268,0.0803412349894643,"South Carolina"
185149,199145,384294,-13996,0.56419026479125,0.43580973520875,0.1283805295825,"South Dakota"
421315,501599,922914,-80284,0.592220958741382,0.407779041258618,0.184441917482764,"Tennessee"
398645,343330,741975,55315,0.410568788554519,0.58943121144548,0.178862422890961,"Texas"
210844,214615,425459,-3771,0.512050652736798,0.487949347263202,0.0241013054735959,"Utah"
415980,297369,713349,118611,0.523670245474204,0.476329754525796,0.0473404909484088,"Vermont"
232346,224654,457000,7692,0.411695697717369,0.588304302282631,0.176608604565263,"Virginia"
142781,155033,297814,-12252,0.439548947336152,0.560451052663848,0.120902105327696,"Washington"
361828,478503,840331,-116675,0.560683708405122,0.439316291594878,0.121367416810244,"West Virginia"
303230,266255,569485,36975,0.434339698776603,0.565660301223397,0.131320602446794,"Wisconsin"
301192,350211,651403,-49019,0.544910869281739,0.455089130718261,0.0898217385634781,"Wyoming"
